NUMERO_CLIENTE,Recency,Frequency,Monetary
7648,72,2,2891.75
7656,30,3,1870.36
7768,49,4,361.37
7811,53,3,1239.85
7815,67,2,289.8
7816,62,2,1307.76
7833,70,1,89.9
7863,35,5,174.99
7883,35,4,1682.00
7927,38,12,4707.89
7957,30,8,977.97
7964,73,2,306.1
7978,34,6,877.63
7995,32,1,35
8008,31,1,30
8010,34,3,942.86
8020,31,1,2860.00
8037,41,1,252
8066,49,4,13287.22
8114,62,1,301.7
8139,39,5,2027.07
8169,34,2,417.87
8176,63,1,4670.31
8207,53,3,1612.08
8221,62,3,1390.14
8244,39,3,12569.23
8261,31,12,21625.00
8264,31,1,190
8301,39,3,539.9
8304,85,3,656.78
8321,41,1,126
8329,40,1,242.33
8374,74,1,39.96
8402,29,4,613.7
8416,47,1,42.39
8426,61,5,776.7
8466,33,13,73923.61
8473,52,2,3721.89
8485,31,10,2164.51
8491,90,1,12.69
8504,32,3,5282.92
8565,39,1,2490.89
8570,39,5,8888.15
8572,38,1,110.77
8604,40,1,242.48
8618,35,3,3494.15
8620,54,2,201.3
8629,73,1,1014.76
8657,41,3,1782.76
8715,48,1,534.18
8726,49,2,180.19
8757,31,2,141.96
8836,65,1,673.15
8850,34,5,3917.15
8858,67,2,1690.07
8909,75,1,199.9
8920,77,3,5273.32
8971,40,1,430
8992,31,2,182.38
9005,35,1,400
9019,33,9,12211.03
9082,84,1,50.8
9108,53,1,233.02
9124,75,1,239.9
9156,41,2,1107.00
9158,32,1,109.05
9196,37,17,7656.27
9227,85,1,174.9
9251,56,3,425.44
9335,48,2,3879.31
9349,37,1,1307.00
9359,84,1,1560.00
9389,55,2,870
9395,48,2,90.01
9410,31,1,25.53
9417,30,16,28963.42
9439,30,5,2612.31
9524,38,2,1869.92
9544,30,4,464.6
9701,49,2,3180.89
9718,41,1,153.9
9794,76,1,250
9811,86,1,111.78
9812,86,1,180.9
9818,77,1,375.9
9842,86,1,4960.00
9848,56,1,191.01
9901,84,1,107.64
9902,39,3,25734.38
9911,73,1,1662.69
9933,41,1,1382.90
9956,33,1,181.8
9979,61,1,277.9
10001,76,1,2990.00
10016,56,1,745.59
10026,41,6,1357.04
10055,65,1,506.18
10081,34,8,14363.99
10103,31,31,1230.14
10146,77,2,136.22
10157,31,12,1274.00
10164,33,2,447.46
10175,34,2,53.67
10201,35,9,606.28
10205,34,1,936.26
10211,63,1,675.93
10221,79,1,146.1
10224,79,1,383.88
10243,31,16,15749.89
10262,31,1,166.72
10281,35,12,17482.50
10284,47,1,3222.74
10391,31,1,3000.00
10436,47,1,843.31
10469,56,1,342.84
10477,31,2,1660.00
10546,35,1,1755.33
10563,72,1,87.07
10603,41,3,814.96
10623,41,2,322.8
10628,30,1,107.37
10650,41,1,105.75
10664,60,1,34.56
10677,35,1,70.5
10706,40,6,32875.75
10707,31,5,1977.70
10718,31,1,676.5
10727,34,10,9022.35
10728,81,1,583.5
10734,32,10,3238.15
10749,39,3,208.86
10754,34,25,707.72
10779,72,1,237.95
10783,32,3,556.3
10786,40,2,1192.67
10820,53,1,400
10864,41,1,5673.84
10905,40,1,1743.11
10908,33,11,18869.58
10912,33,1,1069.50
10931,32,2,335.8
10942,78,1,240.21
10988,82,1,13.76
11002,35,7,9424.27
11007,32,12,779.33
11013,70,4,6062.55
11020,38,1,782.17
11035,58,2,268.8
11060,41,3,1496.40
11083,31,3,20870.64
11099,35,2,1514.34
11150,41,4,2256.82
11167,40,2,336
11182,41,2,206.38
11186,60,2,3229.21
11205,32,9,50646.83
11249,34,3,674.27
11279,62,2,2653.98
11314,72,1,105.4
11325,55,1,736.06
11334,12,1,1496.59
11336,41,4,963.02
11347,40,2,503.71
11348,79,1,5690.00
11361,33,7,15739.21
11381,33,3,1349.95
11383,31,1,1160.00
11400,54,1,164.9
11406,65,1,353
11424,40,9,52992.60
11429,41,2,124.8
11447,32,14,6637.89
11511,31,2,266.67
11513,44,1,1723.16
11564,31,7,23638.58
